,#,Model,GR#,GROUP_NAME,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MP_clash,MP_rotout,MP_ramout,MP_ramfv,reLLG_lddt,reLLG_const,Target
2,3,T1188TS288_1,288s,DFolding-server,97.6,100.0,3,0.47,0.5,85.52,73.91,84.43,0.718,1.038,573,5,99.3,99.65,99.65,99.085,0.72,16.18,65.9,573,0.7,1.23,0.93,99.56,0.86,0.92,1.0,0.02,0.99,95.5,8.4,98.91,97.19,0.99,11177.6,0.26,95.64,0.78,1.56,0.38,0.32,95.22,26.91,25.69,T1188
3,4,T1188TS089_1,089s,GuijunLab-RocketX,97.43,100.0,4,0.46,0.49,86.43,74.77,85.23,0.691,1.025,573,4,99.65,99.83,99.83,99.094,0.69,16.21,65.8,573,0.7,1.24,0.93,99.56,0.86,0.92,1.0,0.02,0.99,95.8,8.4,98.92,97.03,0.99,11129.0,0.29,95.88,0.78,1.25,0.75,1.11,94.11,23.83,23.56,T1188
4,5,T1188TS169_1,169,GuijunLab-Human,97.43,100.0,4,0.46,0.49,86.43,74.77,85.23,0.691,1.025,573,4,99.65,99.83,99.83,99.094,0.69,16.21,65.8,573,0.7,1.24,0.93,99.56,0.86,0.92,1.0,0.02,0.99,95.8,8.4,98.92,97.03,0.99,11129.0,0.29,95.63,0.78,1.25,0.75,1.11,94.11,24.5,23.56,T1188
5,6,T1188TS054_1,054,UltraFold,97.38,100.0,6,0.46,0.48,85.47,73.14,84.16,0.733,1.045,573,5,99.3,99.65,99.65,98.991,0.73,16.21,63.6,573,0.7,1.31,0.93,99.56,0.86,0.92,1.0,0.02,0.98,95.6,8.4,98.85,97.07,0.99,11153.0,0.26,95.48,0.78,1.66,0.19,0.32,94.11,26.6,25.36,T1188
6,7,T1188TS125_1,125s,UltraFold_Server,97.38,100.0,6,0.46,0.48,85.47,73.14,84.16,0.733,1.045,573,5,99.3,99.65,99.65,98.991,0.73,16.21,63.6,573,0.7,1.31,0.93,99.56,0.86,0.92,1.0,0.02,0.98,95.6,8.4,98.85,97.07,0.99,11153.0,0.26,95.48,0.78,1.66,0.19,0.32,94.11,26.6,25.36,T1188
7,8,T1188TS383_1,383s,server_124,97.38,100.0,6,0.46,0.48,85.12,74.14,84.64,0.721,1.029,573,7,99.3,99.83,99.83,99.034,0.72,16.21,64.0,573,0.7,1.21,0.92,99.74,0.86,0.91,1.0,0.02,0.99,98.0,8.4,98.75,96.6,0.99,11010.0,0.31,95.91,0.78,1.25,0.75,0.8,94.75,24.63,23.5,T1188
8,9,T1188TS399_1,399,BeijingAIProtein,97.38,100.0,6,0.46,0.48,85.47,73.14,84.16,0.733,1.045,573,5,99.3,99.65,99.65,98.991,0.73,16.21,63.6,573,0.7,1.31,0.93,99.56,0.86,0.92,1.0,0.02,0.98,95.6,8.4,98.85,97.07,0.99,11153.0,0.26,95.48,0.78,1.66,0.19,0.32,94.11,26.6,25.36,T1188
9,10,T1188TS353_1,353s,hFold,97.34,100.0,10,0.46,0.48,84.81,73.72,83.6,0.752,1.044,573,4,99.48,99.65,99.65,98.954,0.75,16.18,65.5,573,0.8,1.26,0.93,99.56,0.86,0.92,1.0,0.02,0.98,95.4,8.4,98.92,97.27,0.99,11170.2,0.25,95.47,0.79,0.83,1.7,0.32,95.22,25.93,24.94,T1188
10,11,T1188TS098_1,098s,GuijunLab-Assembly,97.25,100.0,11,0.45,0.47,84.95,73.44,83.56,0.757,1.068,573,8,99.13,99.65,99.65,98.879,0.76,16.18,65.8,573,0.8,1.43,0.93,99.56,0.85,0.92,1.0,0.02,0.98,96.2,8.4,98.82,96.94,0.99,11120.6,0.28,95.44,0.78,1.56,1.32,2.07,93.31,25.62,24.47,T1188
11,12,T1188TS208_1,208,B11L,97.03,100.0,12,0.43,0.46,85.43,74.08,84.11,0.732,1.049,573,4,99.65,99.83,99.83,98.866,0.73,16.21,63.6,573,0.7,1.14,0.93,99.74,0.86,0.92,1.0,0.02,0.98,96.3,8.4,98.97,97.23,0.99,11150.5,0.25,95.41,0.78,1.04,0.94,0.8,95.22,23.51,23.63,T1188
12,13,T1188TS003_1,003,MULTICOM_human,97.03,100.0,12,0.43,0.46,86.04,74.3,84.43,0.729,1.051,573,4,99.48,99.65,99.65,98.866,0.73,16.21,64.9,573,0.7,1.21,0.93,99.74,0.86,0.92,1.0,0.02,0.99,95.7,8.4,98.96,97.27,0.99,11159.4,0.25,95.66,0.78,1.14,0.75,0.96,94.27,26.22,23.58,T1188
13,14,T1188TS018_1,018s,server_123,96.99,100.0,14,0.43,0.46,82.5,72.29,82.21,0.773,1.051,573,5,99.13,99.65,99.65,98.884,0.77,16.18,51.8,573,0.8,1.34,0.93,99.74,0.86,0.91,1.0,0.02,0.99,97.7,8.4,98.88,97.04,0.99,11059.3,0.27,95.89,0.78,2.8,0.94,0.64,96.02,16.33,15.74,T1188
14,15,T1188TS245_1,245s,FoldEver,96.99,100.0,14,0.43,0.46,85.21,73.51,83.44,0.752,1.068,573,3,98.95,99.83,99.83,98.892,0.75,16.25,65.8,573,0.8,1.4,0.91,99.74,0.85,0.92,1.0,0.02,0.98,97.2,8.4,98.86,96.88,0.99,11121.8,0.37,94.32,0.78,3.53,0.19,0.8,96.18,26.27,25.04,T1188
15,16,T1188TS204_1,204,Asclepius,96.99,100.0,14,0.43,0.46,84.21,72.81,82.67,0.779,1.083,573,4,99.3,99.83,99.83,98.878,0.78,16.21,52.3,573,0.8,1.15,0.93,99.65,0.86,0.92,1.0,0.02,0.98,95.6,8.4,98.86,97.1,0.99,11156.3,0.27,95.61,0.78,1.45,0.57,0.0,96.02,24.15,23.04,T1188
16,17,T1188TS385_1,385,FoldEver-Hybrid,96.99,100.0,14,0.43,0.46,85.21,73.51,83.44,0.752,1.068,573,3,98.95,99.83,99.83,98.892,0.75,16.25,65.8,573,0.8,1.4,0.91,99.74,0.85,0.92,1.0,0.02,0.98,97.2,8.4,98.86,96.88,0.99,11121.8,0.37,94.32,0.78,3.53,0.19,0.8,96.18,26.27,25.04,T1188
17,18,T1188TS158_1,158s,MULTICOM_deep,96.95,100.0,18,0.43,0.45,84.42,73.15,83.04,0.773,1.07,573,4,99.3,99.65,99.65,98.829,0.77,16.18,66.1,573,0.8,1.21,0.93,99.56,0.86,0.92,1.0,0.02,0.98,95.6,8.4,98.86,97.16,0.99,11160.2,0.26,95.6,0.78,1.45,0.94,0.64,95.22,24.66,23.37,T1188
18,19,T1188TS046_1,046s,Manifold-LC-E,96.9,100.0,19,0.43,0.45,84.69,73.02,83.79,0.73,1.052,573,6,99.3,100.0,100.0,98.853,0.73,16.25,63.3,573,0.7,0.99,0.92,99.65,0.85,0.91,1.0,0.02,0.98,98.5,8.4,98.71,96.55,0.99,10935.0,0.34,95.07,0.78,0.73,0.38,0.0,96.18,23.04,22.17,T1188
19,20,T1188TS035_1,035s,Manifold-E,96.9,100.0,19,0.43,0.45,84.69,73.02,83.79,0.73,1.052,573,6,99.3,100.0,100.0,98.853,0.73,16.25,63.3,573,0.7,0.99,0.92,99.65,0.85,0.91,1.0,0.02,0.98,98.5,8.4,98.71,96.55,0.99,10935.0,0.34,95.07,0.78,0.73,0.38,0.0,96.18,23.04,22.17,T1188
20,21,T1188TS248_1,248,Manifold,96.9,100.0,19,0.43,0.45,84.69,73.02,83.79,0.73,1.052,573,6,99.3,100.0,100.0,98.853,0.73,16.25,63.3,573,0.7,0.99,0.92,99.65,0.85,0.91,1.0,0.02,0.98,98.5,8.4,98.71,96.55,0.99,10935.0,0.34,95.07,0.78,0.73,0.38,0.0,96.18,23.04,22.17,T1188
21,22,T1188TS304_1,304,Manifold-X,96.9,100.0,19,0.43,0.45,84.69,73.02,83.79,0.73,1.052,573,6,99.3,100.0,100.0,98.853,0.73,16.25,63.3,573,0.7,0.99,0.92,99.65,0.85,0.91,1.0,0.02,0.98,98.5,8.4,98.71,96.55,0.99,10935.0,0.34,95.07,0.78,0.73,0.38,0.0,96.18,23.04,22.17,T1188
22,23,T1188TS074_1,074,DFolding,96.9,100.0,19,0.43,0.45,83.86,72.69,82.78,0.77,1.098,573,4,99.13,99.65,99.65,98.871,0.77,16.18,63.5,573,0.8,0.6,0.93,99.65,0.86,0.92,1.0,0.02,0.98,97.8,8.4,98.96,97.36,0.99,11119.5,0.25,95.22,0.78,0.21,0.19,0.0,97.93,21.76,20.92,T1188
23,24,T1188TS133_1,133s,ShanghaiTech-TS-SER,96.86,100.0,24,0.42,0.45,83.99,73.79,83.12,0.76,1.071,573,4,99.13,99.65,99.65,98.818,0.76,16.18,65.8,573,0.8,1.24,0.93,99.65,0.86,0.92,1.0,0.02,0.98,97.1,8.4,98.89,97.12,0.99,11121.0,0.26,95.52,0.79,1.35,0.57,0.8,94.59,24.9,24.03,T1188
24,25,T1188TS151_1,151s,IntFOLD7,96.86,100.0,24,0.42,0.45,85.34,72.22,83.22,0.774,1.064,573,7,99.48,99.65,99.65,98.765,0.77,16.21,64.7,573,0.8,2.17,0.92,99.65,0.85,0.92,1.0,0.02,0.99,96.4,8.4,98.8,96.94,0.99,11135.3,0.28,86.92,0.78,14.23,1.13,4.14,92.52,25.62,22.31,T1188
25,26,T1188TS434_1,434,Coqualia,96.86,100.0,24,0.42,0.45,83.99,73.79,83.12,0.76,1.071,573,4,99.13,99.65,99.65,98.818,0.76,16.18,65.8,573,0.8,1.24,0.93,99.65,0.86,0.92,1.0,0.02,0.98,97.1,8.4,98.89,97.12,0.99,11121.0,0.26,95.52,0.79,1.35,0.57,0.8,94.59,24.9,24.03,T1188
26,27,T1188TS086_1,086s,MULTICOM_qa,96.68,100.0,27,0.41,0.44,85.38,73.86,83.74,0.748,1.066,573,4,99.48,99.65,99.65,98.771,0.75,16.21,64.9,573,0.8,1.16,0.93,99.74,0.86,0.92,1.0,0.02,0.98,95.8,8.4,98.95,97.26,0.99,11151.4,0.25,95.64,0.78,0.93,0.57,1.11,94.43,25.62,24.3,T1188
27,28,T1188TS185_1,185,BAKER,96.64,100.0,28,0.41,0.43,82.98,69.24,81.2,0.785,1.08,573,5,99.3,99.83,99.83,98.732,0.79,16.21,63.0,573,0.8,0.73,0.9,99.83,0.84,0.9,1.0,0.02,0.98,98.0,8.4,98.65,96.55,0.99,10980.9,0.25,94.34,0.74,0.73,0.0,0.16,98.25,19.45,18.4,T1188
28,29,T1188TS342_1,342,hFold_human,96.6,100.0,29,0.41,0.43,83.99,71.91,82.3,0.795,1.093,573,4,99.3,99.65,99.65,98.616,0.79,16.21,65.7,573,0.8,1.2,0.93,99.56,0.86,0.92,1.0,0.02,0.98,96.1,8.4,98.79,96.99,0.99,11132.3,0.27,95.29,0.78,1.45,0.38,0.8,95.38,24.78,23.44,T1188
29,30,T1188TS347_1,347,AIchemy_LIG3,96.55,100.0,30,0.4,0.43,84.56,71.88,82.44,0.785,1.082,573,11,99.48,99.65,99.65,98.697,0.78,16.21,66.7,573,0.8,1.37,0.93,99.56,0.86,0.92,1.0,0.02,0.99,96.4,8.4,98.81,97.03,0.99,11145.0,0.27,95.66,0.78,1.66,0.57,3.03,92.83,24.59,23.21,T1188
30,31,T1188TS199_1,199,TB_model_prediction,96.55,100.0,30,0.4,0.43,84.56,71.88,82.44,0.785,1.082,573,11,99.48,99.65,99.65,98.697,0.78,16.21,66.7,573,0.8,1.37,0.93,99.56,0.86,0.92,1.0,0.02,0.99,96.4,8.4,98.81,97.03,0.99,11145.0,0.27,95.66,0.78,1.66,0.57,3.03,92.83,24.59,23.21,T1188
31,32,T1188TS350_1,350,ClusPro,96.55,100.0,30,0.4,0.43,84.56,69.05,81.12,0.785,1.144,573,11,99.48,99.65,99.65,98.697,0.78,16.21,63.8,573,0.8,1.52,0.91,99.65,0.84,0.91,1.0,0.02,0.99,97.4,8.4,98.81,97.03,0.99,11145.0,0.27,,0.76,2.7,0.57,2.55,92.68,0.0,24.87,T1188
32,33,T1188TS320_1,320,Elofsson,96.55,100.0,30,0.4,0.43,84.56,71.88,82.44,0.785,1.082,573,11,99.48,99.65,99.65,98.697,0.78,16.21,66.7,573,0.8,1.37,0.93,99.56,0.86,0.92,1.0,0.02,0.99,96.4,8.4,98.81,97.03,0.99,11145.0,0.27,95.62,0.78,1.66,0.57,3.03,92.83,24.33,23.21,T1188
33,34,T1188TS270_1,270s,NBIS-af2-standard,96.55,100.0,30,0.4,0.43,84.56,71.88,82.44,0.785,1.082,573,11,99.48,99.65,99.65,98.697,0.78,16.21,66.7,573,0.8,1.37,0.93,99.56,0.86,0.92,1.0,0.02,0.99,96.4,8.4,98.81,97.03,0.99,11145.0,0.27,95.66,0.78,1.66,0.57,3.03,92.83,24.59,23.21,T1188
34,35,T1188TS456_1,456,AIchemy_LIG2,96.55,100.0,30,0.4,0.43,84.56,71.88,82.44,0.785,1.082,573,11,99.48,99.65,99.65,98.697,0.78,16.21,66.7,573,0.8,1.37,0.93,99.56,0.86,0.92,1.0,0.02,0.99,96.4,8.4,98.81,97.03,0.99,11145.0,0.27,95.66,0.78,1.66,0.57,3.03,92.83,24.59,23.21,T1188
35,36,T1188TS236_1,236,noxelis,96.55,100.0,30,0.4,0.43,84.56,71.88,82.44,0.785,1.082,573,11,99.48,99.65,99.65,98.697,0.78,16.21,66.7,573,0.8,1.37,0.93,99.56,0.86,0.92,1.0,0.02,0.99,96.4,8.4,98.81,97.03,0.99,11145.0,0.27,95.66,0.78,1.66,0.57,3.03,92.83,24.59,23.21,T1188
36,37,T1188TS360_1,360,MUFold_H,96.55,100.0,30,0.4,0.43,84.56,71.88,82.44,0.785,1.082,573,11,99.48,99.65,99.65,98.697,0.78,16.21,66.7,573,0.8,1.37,0.93,99.56,0.86,0.92,1.0,0.02,0.99,96.4,8.4,98.81,97.03,0.99,11145.0,0.27,95.62,0.78,1.66,0.57,3.03,92.83,24.33,23.21,T1188
37,38,T1188TS325_1,325,AIchemy_LIG,96.55,100.0,30,0.4,0.43,84.56,71.88,82.44,0.785,1.082,573,11,99.48,99.65,99.65,98.697,0.78,16.21,66.7,573,0.8,1.37,0.93,99.56,0.86,0.92,1.0,0.02,0.99,96.4,8.4,98.81,97.03,0.99,11145.0,0.27,95.66,0.78,1.66,0.57,3.03,92.83,24.59,23.21,T1188
38,39,T1188TS444_1,444,CoDock,96.55,100.0,30,0.4,0.43,84.56,71.88,82.44,0.785,1.082,573,11,99.48,99.65,99.65,98.697,0.78,16.21,66.7,573,0.8,1.37,0.93,99.56,0.86,0.92,1.0,0.02,0.99,96.4,8.4,98.81,97.03,0.99,11145.0,0.27,95.66,0.78,1.66,0.57,3.03,92.83,24.59,23.21,T1188
39,40,T1188TS205_1,205,Zou,96.51,100.0,40,0.4,0.43,84.51,71.76,82.31,0.785,1.11,573,11,99.48,99.65,99.65,98.71,0.78,16.21,65.1,573,0.8,1.35,0.93,99.48,0.86,0.92,1.0,0.02,0.98,96.7,8.4,98.8,97.0,0.99,11139.3,0.28,95.37,0.78,1.25,1.13,3.18,92.52,24.05,22.91,T1188
40,41,T1188TS180_1,180,McGuffin,96.51,100.0,40,0.4,0.43,84.47,72.8,83.62,0.764,1.079,573,4,99.3,99.65,99.65,98.716,0.76,16.21,65.4,573,0.8,1.09,0.93,99.74,0.86,0.92,1.0,0.02,0.99,95.5,8.4,98.88,97.09,0.99,11125.7,0.27,94.06,0.78,0.73,0.19,0.0,94.9,22.07,21.87,T1188
41,42,T1188TS462_1,462s,MultiFOLD,96.51,100.0,40,0.4,0.43,84.47,72.8,83.62,0.764,1.079,573,4,99.3,99.65,99.65,98.716,0.76,16.21,65.4,573,0.8,1.09,0.93,99.74,0.86,0.92,1.0,0.02,0.99,95.5,8.4,98.88,97.09,0.99,11125.7,0.27,94.06,0.78,0.73,0.19,0.0,94.9,22.07,21.87,T1188
42,43,T1188TS120_1,120s,MULTICOM_egnn,96.51,100.0,40,0.4,0.43,85.12,73.23,83.52,0.752,1.074,573,4,99.48,99.65,99.65,98.702,0.75,16.25,65.7,573,0.8,1.15,0.93,99.74,0.86,0.92,1.0,0.02,0.98,96.6,8.4,98.95,97.25,0.99,11149.1,0.25,95.42,0.78,0.83,0.75,0.64,94.27,24.46,22.73,T1188
43,44,T1188TS450_1,450s,ManiFold-serv,96.51,100.0,40,0.4,0.43,84.03,71.92,82.34,0.793,1.089,573,5,99.48,99.65,99.65,98.67,0.79,16.21,63.4,573,0.8,1.23,0.93,99.39,0.86,0.92,1.0,0.02,0.98,95.0,8.4,98.74,96.78,0.99,11111.8,0.32,95.42,0.78,1.35,0.94,0.16,94.75,25.88,24.31,T1188
44,45,T1188TS367_1,367,MULTICOM,96.47,100.0,45,0.4,0.42,84.99,73.85,83.45,0.756,1.068,573,4,99.65,99.83,99.83,98.673,0.76,16.25,65.4,573,0.8,1.14,0.93,99.65,0.86,0.92,1.0,0.02,0.98,95.7,8.4,98.94,97.27,0.99,11153.2,0.24,95.51,0.79,0.83,0.94,0.64,94.43,23.87,20.63,T1188
45,46,T1188TS443_1,443s,BAKER-SERVER,96.47,100.0,45,0.4,0.42,83.07,69.98,81.69,0.799,1.164,573,5,99.3,99.65,99.65,98.647,0.8,16.21,59.4,573,0.8,0.87,0.91,99.65,0.85,0.9,1.0,0.02,0.98,96.8,8.4,98.77,96.82,0.99,11015.7,0.25,94.64,0.75,0.83,0.0,0.64,97.45,20.57,19.43,T1188
46,47,T1188TS446_1,446s,ColabFold,96.47,100.0,45,0.4,0.42,83.9,72.75,82.36,0.81,1.1,573,6,99.13,99.65,99.65,98.608,0.81,16.18,65.8,573,0.8,1.2,0.93,99.56,0.85,0.92,1.0,0.02,0.98,96.2,8.4,98.78,96.95,0.99,11120.3,0.28,95.47,0.78,1.14,0.57,0.8,94.43,25.95,25.82,T1188
47,48,T1188TS461_1,461,colabfold_human,96.47,100.0,45,0.4,0.42,83.9,72.75,82.36,0.81,1.1,573,6,99.13,99.65,99.65,98.608,0.81,16.18,65.8,573,0.8,1.2,0.93,99.56,0.85,0.92,1.0,0.02,0.98,96.2,8.4,98.78,96.95,0.99,11120.3,0.28,95.47,0.78,1.14,0.57,0.8,94.43,25.95,25.82,T1188
48,49,T1188TS122_1,122,zax,96.47,100.0,45,0.4,0.42,83.9,72.75,82.36,0.81,1.1,573,6,99.13,99.65,99.65,98.608,0.81,16.18,65.9,573,0.8,1.23,0.93,99.56,0.85,0.92,1.0,0.02,0.98,96.2,8.4,98.78,96.95,0.99,11120.3,0.28,,0.78,1.25,0.57,0.8,94.43,0.0,25.82,T1188
49,50,T1188TS398_1,398,ChaePred,96.47,100.0,45,0.4,0.42,83.07,69.98,81.69,0.799,1.164,573,5,99.3,99.65,99.65,98.647,0.8,16.21,59.4,573,0.8,0.87,0.91,99.65,0.85,0.9,1.0,0.02,0.98,96.8,8.4,98.77,96.82,0.99,11015.7,0.25,94.64,0.75,0.83,0.0,0.64,97.45,20.57,19.43,T1188
50,51,T1188TS216_1,216,Seder2022hard,96.47,100.0,45,0.4,0.42,83.07,69.98,81.69,0.799,1.164,573,5,99.3,99.65,99.65,98.647,0.8,16.21,59.4,573,0.8,0.87,0.91,99.65,0.85,0.9,1.0,0.02,0.98,96.8,8.4,98.77,96.82,0.99,11015.7,0.25,32.53,0.75,0.83,0.0,0.64,97.45,0.16,19.43,T1188
51,52,T1188TS234_1,234,Panlab,96.38,100.0,52,0.39,0.42,83.38,56.24,77.24,0.783,1.477,573,4,99.48,99.65,99.65,98.628,0.78,16.21,65.0,573,0.8,2.31,0.84,99.3,0.77,0.87,1.0,0.02,0.98,93.9,8.4,98.5,95.96,0.99,10967.0,0.43,22.4,0.64,3.01,8.11,1.27,90.76,0.0,12.16,T1188
52,53,T1188TS282_1,282s,GuijunLab-Threader,96.33,100.0,53,0.39,0.41,84.38,71.75,82.41,0.807,1.098,573,9,99.13,99.65,99.65,98.566,0.81,16.21,63.5,573,0.8,1.34,0.93,99.56,0.86,0.92,1.0,0.02,0.98,96.2,8.4,98.82,97.01,0.99,11117.1,0.27,95.29,0.78,1.35,1.13,2.39,93.31,22.9,22.67,T1188
53,54,T1188TS475_1,475s,MULTICOM_refine,96.29,100.0,54,0.38,0.41,83.2,72.11,82.06,0.805,1.086,573,5,99.48,99.65,99.65,98.585,0.8,16.18,52.3,573,0.8,1.11,0.93,99.56,0.86,0.92,1.0,0.02,0.98,95.6,8.4,98.85,97.15,0.99,11150.8,0.26,95.66,0.79,0.93,0.75,0.16,95.22,24.19,23.02,T1188
54,55,T1188TS298_1,298s,MUFold,96.29,100.0,54,0.38,0.41,83.11,73.18,82.53,0.817,1.095,573,5,98.78,99.65,99.65,98.533,0.82,16.18,65.0,573,0.8,1.25,0.93,99.56,0.86,0.92,1.0,0.02,0.98,92.3,8.4,98.63,96.34,0.99,11073.1,0.44,95.46,0.78,1.35,0.57,0.96,94.27,21.33,19.81,T1188
55,56,T1188TS403_1,403s,server_126,96.25,100.0,56,0.38,0.41,82.64,72.37,81.91,0.789,1.062,573,6,99.3,99.65,99.65,98.674,0.79,16.21,65.8,573,0.8,1.12,0.93,99.56,0.86,0.92,1.0,0.02,0.98,95.8,8.4,98.91,97.15,0.99,11112.7,0.25,94.3,0.78,0.83,0.94,0.64,94.75,19.99,19.7,T1188
56,57,T1188TS188_1,188s,GuijunLab-DeepDA,96.03,100.0,57,0.37,0.39,82.24,71.9,81.23,0.892,1.152,573,5,98.6,99.48,99.48,98.292,0.83,16.05,63.9,572,0.8,1.1,0.92,99.04,0.86,0.92,1.0,0.02,0.98,92.3,8.4,98.58,96.12,0.99,11022.5,0.66,94.91,0.78,0.73,0.57,0.48,94.59,18.46,17.15,T1188
57,58,T1188TS481_1,481s,GuijunLab-Meta,96.03,100.0,57,0.37,0.39,82.24,71.9,81.23,0.892,1.152,573,5,98.6,99.48,99.48,98.292,0.83,16.05,63.9,572,0.8,1.1,0.92,99.04,0.86,0.92,1.0,0.02,0.98,92.3,8.4,98.58,96.12,0.99,11022.5,0.66,94.91,0.78,0.73,0.57,0.48,94.59,18.46,17.15,T1188
58,59,T1188TS466_1,466s,Shennong,95.9,100.0,59,0.36,0.38,82.2,71.6,80.47,0.9,1.168,573,4,98.43,99.48,99.48,98.251,0.88,16.08,64.0,572,0.9,1.26,0.92,99.22,0.85,0.91,1.0,0.02,0.98,92.5,8.4,98.43,95.9,0.99,10986.3,0.65,94.69,0.77,1.45,0.75,0.48,94.43,18.31,17.13,T1188
59,60,T1188TS439_1,439,Yang,95.86,100.0,60,0.36,0.38,83.81,72.31,81.42,0.822,1.084,573,4,99.3,99.83,99.83,98.37,0.82,16.21,62.5,573,0.8,1.4,0.91,98.94,0.85,0.9,1.0,0.02,0.98,95.5,8.4,98.8,97.03,0.99,11150.1,0.25,92.69,0.76,2.85,0.75,0.16,95.38,24.22,24.07,T1188
60,61,T1188TS229_1,229s,Yang-Server,95.86,100.0,60,0.36,0.38,83.81,72.31,81.42,0.822,1.084,573,4,99.3,99.83,99.83,98.37,0.82,16.21,62.5,573,0.8,1.4,0.91,98.94,0.85,0.9,1.0,0.02,0.98,95.5,8.4,98.8,97.03,0.99,11150.1,0.25,92.69,0.76,2.85,0.75,0.16,95.38,24.22,24.07,T1188
61,62,T1188TS008_1,008,bench,95.86,100.0,60,0.36,0.38,84.64,73.57,81.9,0.792,1.053,573,5,99.48,99.65,99.65,98.429,0.79,16.25,52.3,573,0.8,1.43,0.91,98.94,0.86,0.91,1.0,0.02,0.98,95.7,8.4,98.93,97.29,0.99,11161.0,0.24,94.3,0.77,2.22,1.32,0.8,95.06,19.65,22.11,T1188
62,63,T1188TS477_1,477,DMP,95.81,100.0,63,0.35,0.38,84.03,71.07,81.8,0.831,1.12,573,4,98.78,99.65,99.65,98.429,0.83,16.21,66.4,573,0.8,1.66,0.91,99.56,0.85,0.92,1.0,0.02,0.98,95.6,8.4,98.75,96.91,0.99,11114.1,0.28,94.26,0.77,12.26,0.0,0.17,97.74,21.5,23.28,T1188
63,64,T1188TS427_1,427s,MESHI_server,95.77,100.0,64,0.35,0.38,80.45,44.34,71.34,0.826,1.837,573,4,99.48,99.83,99.83,98.367,0.83,16.25,61.3,573,0.8,4.09,0.78,95.64,0.69,0.81,1.0,0.04,0.98,90.4,8.4,97.33,92.88,0.99,10610.7,0.72,81.87,0.52,52.41,31.51,8.76,77.87,5.34,5.11,T1188
64,65,T1188TS261_1,261s,server_122,95.77,100.0,64,0.35,0.38,84.2,73.03,82.23,0.8,1.09,573,4,99.48,99.65,99.65,98.442,0.8,16.21,65.7,573,0.8,1.1,0.93,99.74,0.86,0.92,1.0,0.02,0.98,95.7,8.4,98.94,97.22,0.99,11132.4,0.25,95.56,0.79,0.73,0.94,1.27,94.59,19.81,18.92,T1188
65,66,T1188TS264_1,264s,server_125,95.77,100.0,64,0.35,0.38,84.2,73.03,82.23,0.8,1.09,573,4,99.48,99.65,99.65,98.442,0.8,16.21,65.7,573,0.8,1.1,0.93,99.74,0.86,0.92,1.0,0.02,0.98,95.7,8.4,98.94,97.22,0.99,11132.4,0.25,95.56,0.79,0.73,0.94,1.27,94.59,19.81,18.92,T1188
66,67,T1188TS225_1,225,ShanghaiTech,95.68,100.0,67,0.34,0.37,83.07,70.85,81.05,0.852,1.129,573,4,99.48,99.65,99.65,98.302,0.85,16.21,64.7,573,0.9,1.15,0.91,99.48,0.84,0.91,1.0,0.02,0.98,95.7,8.4,98.41,95.95,0.99,10941.0,0.42,94.06,0.77,0.83,0.57,0.16,94.27,23.1,21.64,T1188
67,68,T1188TS091_1,091,UNRES,95.46,100.0,68,0.33,0.36,79.28,56.31,74.77,0.854,1.54,573,0,99.3,99.83,99.83,98.255,0.85,16.25,61.3,573,0.9,1.07,0.83,98.43,0.76,0.84,1.0,0.03,0.98,92.8,8.4,97.96,94.62,0.99,10573.6,0.63,86.04,0.63,0.0,1.51,1.11,93.31,9.22,9.03,T1188
68,69,T1188TS441_1,441,OpenFold,95.29,100.0,69,0.32,0.34,81.59,70.41,80.78,0.841,1.124,573,2,99.13,99.65,99.65,98.315,0.84,16.18,63.2,573,0.8,1.17,0.91,99.65,0.85,0.91,1.0,0.02,0.98,96.1,8.4,98.69,96.64,0.99,11013.2,0.32,95.28,0.77,1.14,0.38,0.96,95.06,17.29,16.15,T1188
69,70,T1188TS433_1,433,OpenFold-SingleSeq,95.29,100.0,69,0.32,0.34,81.59,70.41,80.78,0.841,1.124,573,2,99.13,99.65,99.65,98.315,0.84,16.18,63.2,573,0.8,1.17,0.91,99.65,0.85,0.91,1.0,0.02,0.98,96.1,8.4,98.69,96.64,0.99,11013.2,0.32,95.28,0.77,1.14,0.38,0.96,95.06,17.29,16.15,T1188
70,71,T1188TS269_1,269,AP_1,95.07,100.0,71,0.3,0.33,80.28,68.02,79.71,0.948,1.281,573,8,98.6,99.3,99.3,98.042,0.9,16.05,59.7,572,0.9,1.29,0.89,99.3,0.83,0.89,1.0,0.03,0.98,95.1,8.4,98.27,95.43,0.99,10781.2,0.69,93.42,0.73,5.4,0.19,0.16,98.24,17.27,16.15,T1188
71,72,T1188TS011_1,011s,GinobiFold-SER,94.98,100.0,72,0.3,0.32,81.55,70.57,80.29,0.861,1.15,573,6,99.48,99.83,99.83,98.05,0.86,16.21,52.1,573,0.9,1.3,0.93,99.65,0.86,0.92,1.0,0.02,0.98,95.6,8.4,98.82,97.13,0.99,11111.2,0.24,96.05,0.78,1.66,0.75,1.43,94.43,22.68,20.91,T1188
